"Local", Área da unidade territorial
"Lafaiete Coutinho", 498.110
"Lagoa Real", 912.222
"Laje", 449.834
"Lajedinho", 846.728
"Lajedo do Tabocal", 382.937
"Lamarão", 189.257
"Lapão", 642.882
"Lauro de Freitas", 58.043
"Lençóis", 1283.328
"Livramento de Nossa Senhora", 1952.510
"Luís Eduardo Magalhães", 4036.094
"Macajuba", 701.170
"Macaúbas", 2459.102
"Macururé", 2545.856
"Madre de Deus", 32.201
"Mairi", 906.680
"Mansidão", 3129.588
"Maracás", 2413.270
"Maragogipe", 437.610
"Marcionílio Souza", 1099.283
"Mata de São João", 605.168
"Matina", 773.278
"Miguel Calmon", 1599.672
"Milagres", 420.358
"Mirangaba", 1751.778
"Monte Santo", 3034.197
"Morpará", 2093.872
"Morro do Chapéu", 5744.969
"Mucugê", 2462.153
"Mulungu do Morro", 646.621
"Mundo Novo", 1491.994
"Muniz Ferreira", 104.540
"Muquém do São Francisco", 3852.111
"Muritiba", 86.311
"Mutuípe", 275.854
"Nazaré", 278.629
"Nilo Peçanha", 388.936
"Nordestina", 465.407
"Nova Fátima", 346.784
"Nova Ibiá", 203.198
"Nova Itarana", 475.381
"Nova Redenção", 565.356
"Nova Soure", 966.993
"Novo Horizonte", 627.500
"Novo Triunfo", 278.487
"Olindina", 637.317
"Oliveira dos Brejinhos", 3313.418
"Ouriçangas", 156.982
"Ourolândia", 1544.988
"Palmeiras", 737.454
"Paramirim", 1087.060
"Paratinga", 2624.998
"Paripiranga", 442.186
"Paulo Afonso", 1544.388
"Pé de Serra", 596.771
"Pedrão", 158.488
"Pedro Alexandre", 889.572
"Piatã", 1825.857
"Pilão Arcado", 11597.923
"Pindobaçu", 495.845
"Pintadas", 647.144
"Piraí do Norte", 193.427
"Piritiba", 980.328
"Planaltino", 955.454
"Pojuca", 314.932
"Ponto Novo", 530.144
"Presidente Dutra", 232.064
"Presidente Tancredo Neves", 441.820
"Queimadas", 2011.060
"Quijingue", 1380.798
"Quixabeira", 366.387
"Rafael Jambeiro", 1090.552
"Remanso", 4573.505
"Retirolândia", 242.329
"Riachão das Neves", 5977.931
"Riachão do Jacuípe", 1155.418
"Riacho de Santana", 3183.911
"Ribeira do Amparo", 644.229
"Ribeira do Pombal", 1252.144
"Rio de Contas", 1115.252
"Rio do Pires", 656.223
"Rio Real", 739.775
"Rodelas", 2207.159
"Ruy Barbosa", 1991.769
"Salinas da Margarida", 150.569
"Salvador", 693.453
"Santa Bárbara", 347.021
"Santa Brígida", 934.461
"Santa Inês", 379.270
"Santaluz", 1623.445
"Santa Maria da Vitória", 1984.910
"Santana", 1909.353
"Santanópolis", 222.686
"Santa Rita de Cássia", 6030.491
"Santa Terezinha", 719.257
"Santo Amaro", 494.502
"Santo Antônio de Jesus", 261.740
"Santo Estêvão", 360.334
"São Desidério", 15156.712
"São Domingos", 289.963
"São Félix", 103.226
"São Félix do Coribe", 1751.671
"São Felipe", 222.407
"São Francisco do Conde", 269.715
"São Gabriel", 1146.054
"São Gonçalo dos Campos", 294.768
"São José do Jacuípe", 362.365
"São Miguel das Matas", 230.888
"São Sebastião do Passé", 536.678
"Sapeaçu", 131.218
"Sátiro Dias", 949.223
"Saubara", 166.428
"Saúde", 509.098
"Seabra", 2402.170
"Senhor do Bonfim", 789.361
"Serra do Ramalho", 2340.684
"Sento Sé", 11980.172
"Serra Dourada", 1592.245
"Serra Preta", 595.297
"Serrinha", 583.314
"Serrolândia", 322.022
"Simões Filho", 201.418
"Sítio do Mato", 1627.806
"Sítio do Quinto", 684.089
